Epoch [169/250], Loss: 0.0430
Epoch [170/250], Loss: 0.0430
Epoch [171/250], Loss: 0.0430
Epoch [172/250], Loss: 0.0429
Epoch [173/250], Loss: 0.0430
Epoch [174/250], Loss: 0.0429
Epoch [175/250], Loss: 0.0428
Epoch [176/250], Loss: 0.0428
Epoch [177/250], Loss: 0.0429
Epoch [178/250], Loss: 0.0426
Epoch [179/250], Loss: 0.0427
Epoch [180/250], Loss: 0.0425
Epoch [181/250], Loss: 0.0427
Epoch [182/250], Loss: 0.0427
Epoch [183/250], Loss: 0.0425
Epoch [184/250], Loss: 0.0424
Epoch [185/250], Loss: 0.0422
Epoch [186/250], Loss: 0.0424
Epoch [187/250], Loss: 0.0424
Epoch [188/250], Loss: 0.0424
Epoch [189/250], Loss: 0.0423
Epoch [190/250], Loss: 0.0423
Epoch [191/250], Loss: 0.0423
Epoch [192/250], Loss: 0.0422
Epoch [193/250], Loss: 0.0422
Epoch [194/250], Loss: 0.0423
Epoch [195/250], Loss: 0.0422
Epoch [196/250], Loss: 0.0421
Epoch [197/250], Loss: 0.0420
Epoch [198/250], Loss: 0.0421
Epoch [199/250], Loss: 0.0420
Epoch [200/250], Loss: 0.0422
Epoch [201/250], Loss: 0.0421
Epoch [202/250], Loss: 0.0419
Epoch [203/250], Loss: 0.0419
Epoch [204/250], Loss: 0.0420
Epoch [205/250], Loss: 0.0418
Epoch [206/250], Loss: 0.0419
Epoch [207/250], Loss: 0.0417
Epoch [208/250], Loss: 0.0419
Epoch [209/250], Loss: 0.0418
Epoch [210/250], Loss: 0.0417
Epoch [211/250], Loss: 0.0417
Epoch [212/250], Loss: 0.0418
Epoch [213/250], Loss: 0.0416
Epoch [214/250], Loss: 0.0419
Epoch [215/250], Loss: 0.0415
Epoch [216/250], Loss: 0.0417
Epoch [217/250], Loss: 0.0418
Epoch [218/250], Loss: 0.0417
Epoch [219/250], Loss: 0.0414
Epoch [220/250], Loss: 0.0414
Epoch [221/250], Loss: 0.0416
Epoch [222/250], Loss: 0.0415
Epoch [223/250], Loss: 0.0415
Epoch [224/250], Loss: 0.0414
Epoch [225/250], Loss: 0.0414
Epoch [226/250], Loss: 0.0413
Epoch [227/250], Loss: 0.0413
Epoch [228/250], Loss: 0.0415
Epoch [229/250], Loss: 0.0413
Epoch [230/250], Loss: 0.0411
Epoch [231/250], Loss: 0.0413
Epoch [232/250], Loss: 0.0412
Epoch [233/250], Loss: 0.0412
Epoch [234/250], Loss: 0.0413
Epoch [235/250], Loss: 0.0412
Epoch [236/250], Loss: 0.0412
Epoch [237/250], Loss: 0.0412
Epoch [238/250], Loss: 0.0412
Epoch [239/250], Loss: 0.0411
Epoch [240/250], Loss: 0.0411
Epoch [241/250], Loss: 0.0411
Epoch [242/250], Loss: 0.0411
Epoch [243/250], Loss: 0.0411
Epoch [244/250], Loss: 0.0410
Epoch [245/250], Loss: 0.0409
Epoch [246/250], Loss: 0.0411
Epoch [247/250], Loss: 0.0411
Epoch [248/250], Loss: 0.0410
Epoch [249/250], Loss: 0.0410
Epoch [250/250], Loss: 0.0408
